Subject	Group	TrialNumber	TrialOrder	SuffixAmbiguity	Noun	Suffix	LemmaFrequency	NounLength	SuffixFrequency	SuffixProductivity	SuffixLength	IA_ID	DWELL_TIME	FIRST_FIXATION_DURATION	FIRST_RUN_FIXATION_COUNT	GAZE_DURATION	IA_SKIP	IA_FIRST_FIX_PROGRESSIVE	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	PROB_OF_REGRESSION
66	b	48	17	jedno	?lanarina	arina	4717	9	46	12	5	4	768	168	2	388	0	1	388	388	0
66	b	50	30	jedno	?vori?	iĂ„â€ˇ	444	6	868	104	2	4	132	132	1	132	0	1	132	132	0
66	b	8	11	vise	?vrstina	ina	2303	8	6155	225	3	4	272	272	1	272	0	1	272	272	0
66	b	2	21	vise	an?elak	ak	331	7	5345	165	2	4	344	164	2	344	0	1	344	344	0
66	b	4	20	vise	brija?	aĂ„Ĺ¤	636	6	2140	166	2	4	320	240	2	320	0	1	320	320	0
66	b	6	39	vise	cvetak	ak	288	6	5345	165	2	4	480	228	2	480	0	1	480	480	0
66	b	10	8	vise	davljenik	nik	386	9	6585	266	3	4	512	180	2	512	0	1	512	512	0
66	b	12	38	vise	divljak	ak	1045	7	5345	165	2	4	428	204	1	204	0	1	204	204	0
66	b	52	9	jedno	drĂ„Ä…Ă„Äľavnost	ost	4745	9	3001	310	3	4	372	224	2	372	0	1	372	372	0
66	b	86	41	jedno	dvojnost	ost	222	8	3001	310	3	4	664	248	1	248	0	1	840	664	416
66	b	14	40	vise	dvorac	ac	5925	6	3764	191	2	4	616	392	1	392	0	1	764	616	224
66	b	16	28	jedno	gusto?a	oĂ„â€ˇa	294	7	913	53	3	4	452	184	2	452	0	1	452	452	0
66	b	54	15	vise	hlebac	ac	36	6	3764	191	2	4	344	136	2	344	0	1	344	344	0
66	b	56	25	vise	izvornik	nik	486	8	6585	266	3	4	628	252	1	252	0	1	252	252	0
66	b	18	36	vise	jastu?nica	nica	241	10	2280	181	4	4	148	148	1	148	0	1	148	148	0
66	b	58	5	jedno	jedin?e	Ă„Ĺ¤e	0.1	7	88	36	2	4	540	352	2	384	0	1	1100	540	156
66	b	60	13	jedno	jezi?i?	iĂ„â€ˇ	3	7	868	104	2	4	1408	188	2	392	0	1	1000	824	432
66	b	20	24	jedno	kadionica	onica	291	9	234	15	5	4	536	276	1	276	0	1	344	276	0
66	b	22	19	vise	konjina	ina	74	7	6155	225	3	4	540	144	1	144	0	1	484	388	244
66	b	24	37	jedno	lizi?	iĂ„â€ˇ	0.1	5	868	104	2	5	548	284	1	284	0	1	384	284	0
66	b	26	22	vise	lovac	ac	9537	5	3764	191	2	4	0	0	0	0	1	0	0	0	0
66	b	88	26	vise	nau?nik	nik	40951	7	6585	266	3	4	268	268	1	268	0	1	268	268	0
66	b	62	35	jedno	osmakinja	kinja	5	9	170	37	5	4	476	256	1	256	0	1	256	256	0
66	b	28	3	jedno	osnivanje	nje	30166	9	23567	2144	3	4	380	156	2	380	0	1	380	380	0
66	b	30	7	jedno	primer?i?	Ă„Ĺ¤iĂ„â€ˇ	1	9	73	35	3	4	420	204	1	204	0	1	588	420	216
66	b	64	6	jedno	primitivnost	ost	114	12	3001	310	3	4	416	204	2	416	0	1	416	416	0
66	b	32	44	jedno	puti?	iĂ„â€ˇ	269	5	868	104	2	4	288	152	2	288	0	1	288	288	0
66	b	34	43	jedno	redi?	iĂ„â€ˇ	4	5	868	104	2	4	216	216	1	216	0	1	216	216	0
66	b	66	23	vise	sluĂ„Ä…Ă‹â€ˇalica	lica	5965	9	537	65	4	4	216	216	1	216	0	1	216	216	0
66	b	36	27	vise	smrtnik	nik	2119	7	6585	266	3	4	796	196	1	196	0	1	736	432	236
66	b	84	32	jedno	star?i?	Ă„Ĺ¤iĂ„â€ˇ	107	7	73	35	3	4	448	196	2	448	0	1	448	448	0
66	b	68	10	jedno	streljana	ana	581	9	424	35	3	4	0	0	0	0	1	0	0	0	0
66	b	70	33	vise	sudija	ija	67415	6	3200	192	3	4	432	252	2	432	0	1	432	432	0
66	b	72	12	jedno	sviraljka	aljka	8	9	81	17	5	4	888	116	1	116	0	1	1152	888	772
66	b	38	4	vise	udara?	aĂ„Ĺ¤	270	6	2140	166	2	4	616	152	2	376	0	1	376	376	0
66	b	74	29	vise	ulaznica	nica	11438	8	2280	181	4	4	300	84	2	300	0	1	300	300	0
66	b	40	14	vise	umetnik	nik	38568	7	6585	266	3	4	852	248	2	688	0	1	688	688	0
66	b	76	34	jedno	uvoj?i?	Ă„Ĺ¤iĂ„â€ˇ	0.1	7	73	35	3	4	700	456	2	700	0	1	700	700	0
66	b	78	31	jedno	ven?anje	nje	9556	8	23567	2144	3	4	208	208	1	208	0	1	208	208	0
66	b	42	42	vise	ven?ina	ina	0.1	7	6155	225	3	4	452	204	1	204	0	1	656	452	248
66	b	44	18	jedno	vernost	ost	2854	7	3001	310	3	4	528	212	2	404	0	1	684	404	0
66	b	46	1	vise	zemljak	ak	3466	7	5345	165	2	4	548	168	2	324	0	1	864	548	224
66	b	80	2	vise	zidina	ina	2972	6	6155	225	3	4	400	272	1	272	0	1	272	272	0
66	b	82	16	jedno	zvuki?	iĂ„â€ˇ	1	8	868	104	2	4	140	140	1	140	0	1	140	140	0
12a	a	47	16	vise	?lanak	ak	51490	6	5345	165	2	4	200	200	1	200	0	1	200	200	0
12a	a	49	27	vise	?vorina	ina	0.1	7	6155	225	3	4	428	248	1	248	1	0	248	248	0
12a	a	7	44	jedno	?vrsto?a	oĂ„â€ˇa	1588	8	913	53	3	4	536	204	1	204	0	1	908	536	332
12a	a	1	6	jedno	an?el?e	Ă„Ĺ¤e	0.1	7	88	36	2	4	756	188	1	188	0	1	704	400	212
12a	a	3	35	jedno	brijanje	nje	1268	8	23567	2144	3	4	1148	360	2	528	0	1	820	528	0
12a	a	5	30	jedno	cveti?	iĂ„â€ˇ	799	6	868	104	2	4	236	236	1	236	0	1	236	236	0
12a	a	9	14	jedno	davljenje	nje	579	9	23567	2144	3	4	284	284	1	284	0	1	284	284	0
12a	a	11	26	jedno	divljakinja	kinja	5	11	170	37	5	4	1320	364	4	1320	0	1	1320	1320	0
